controlNumber,prefLabel,scopeNote
355089,1900-talet,Allmänt kronologiskt ämnesord.
355092,1910-talet,Allmänt kronologiskt ämnesord.
398854,1912-1945 (Japan),Kronologiskt ämnesord för Japan. Kompletteras med geografiskt ämnesord.
395872,"1912-1949 (Republiken Kina, Kina)",Kronologiskt ämnesord för Kina
355093,1914-1918 (första världskriget),"Allmänt kronologiskt ämnesord. | För verk om själva kriget, se det allmänna ämnesordet Första världskriget 1914-1918."
357853,"1918-1933 (Weimarrepubliken, Tyskland)",Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.
355094,1918-1939 (mellankrigstiden),Allmänt kronologiskt ämnesord.
355095,1920-talet,Allmänt kronologiskt ämnesord.
398860,"1926-1989 (Showaperioden, Japan)",Kronologiskt ämnesord för Japan. Kompletteras med geografiskt ämnesord.
395875,1928-1937 (Kina),
355096,1930-talet,Allmänt kronologiskt ämnesord.
400120,1931-1939 (Spanien),Kronologiskt ämnesord för Spanien. Komplettera med geografiskt ämnesord.
357854,1933-1945 (Tyskland),Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.
395876,"1937-1945 (kinesisk-japanska kriget 1937-1945, Kina)",Kronologiskt ämnesord för Kina. Se även det allmänna ämnesordet Kinesisk-japanska kriget 1937-1945.
355098,1939-1945 (andra världskriget),"Allmänt kronologiskt ämnesord. | För verk om själva kriget, se det allmänna ämnesordet Andra världskriget (1939-1945)."
385171,"1939-1975 (Francoepoken, Spanien)",Kronologiskt ämnesord för Spanien. Kompletteras med geografiskt ämnesord.
355099,1940-talet,Allmänt kronologiskt ämnesord.
355100,1945-,Allmänt kronologiskt ämnesord.
355101,1945-1970,Allmänt kronologiskt ämnesord.
355102,1945-1990,Allmänt kronologiskt ämnesord.
401966,1945-1990 (Tyskland),Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.
395885,"1949- (Folkrepubliken Kina, Kina)",Kronologiskt ämnesord för Kina.
395904,1949-1976 (Kina),Kronologiskt ämnesord för Kina.
355103,1950-talet,Allmänt kronologiskt ämnesord.
355104,1960-talet,Allmänt kronologiskt ämnesord.
j0g7fmjrg17vqm3h,"1967-1974 (militärjuntan, Grekland)",Kronologiskt ämnesord för Grekland. Kompletteras med geografiskt ämnesord.
245040,1968,Hit verk om de samlade politiska och kulturella händelserna 1968.
355105,1970-talet,Allmänt kronologiskt ämnesord.
400134,1975- (Spanien),Kronologiskt ämnesord för Spanien. Komplettera med geografiskt ämnesord.
395908,1976-2002 (Kina),Kronologiskt ämnesord för Kina.
355106,1980-talet,Allmänt kronologiskt ämnesord.
hz267v55f00qdwv1,"1989-2019 (Heiseiperioden, Japan)",Kronologiskt ämnesord för Japan. Kompletteras med geografiskt ämnesord.
357856,1990- (Tyskland),Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.
355107,1990-talet,Allmänt kronologiskt ämnesord.
373774,2-step,
355053,200-talet,Allmänt kronologiskt ämnesord.
355045,200-talet f.Kr.,Används för åren 299-200 f.Kr. | Allmänt kronologiskt ämnesord.
355108,2000-talet,Allmänt kronologiskt ämnesord.
395957,2002- (Kina),Kronologiskt ämnesord för Kina.
355111,2010-talet,Allmänt kronologiskt ämnesord.
395806,"202 f.Kr.-220 e.Kr. (Handynastin, Kina)",Kronologiskt ämnesord för Kina.
6k1dxg734304gwww,2020-talet,Allmänt kronologiskt ämnesord.
398927,"2040-1675 f.Kr. (Mellersta riket, Egypten)",Kronologiskt ämnesord för Egypten. Kompletteras med geografiskt ämnesord.
395808,"220-265 (De tre kungadömena, Kina)",Kronologiskt ämnesord för Kina.
395811,"220-589 (De sex dynastierna, Kina)",Kronologiskt ämnesord för Kina.
395791,-221 f.Kr. (Kina),Kronologiskt ämnesord för Kina.
395813,221 f.Kr.-960 e.Kr. (Kina),Kronologiskt ämnesord för Kina.
317085,"221-207 f.Kr. (Qindynastin, Kina)",Kronologiskt ämnesord för Kina. Kombineras med geografiskt ämnesord.
355457,"265-31 f.Kr. (senrepubliken, Romerska riket)",Kronologiskt ämnesord för Romerska riket.
355461,"27 f.Kr.-284 e.Kr. (principatet, Romerska riket)",Kronologiskt ämnesord för Romerska riket.
398925,"2700-2270 f.Kr. (Gamla riket, Egypten)",Kronologiskt ämnesord för Egypten. Kompletteras med geografiskt ämnesord.
355462,"284-476 e.Kr. (dominatet, Romerska riket)",Kronologiskt ämnesord för Romerska riket.
235711,30 f.Kr.-640 e.Kr. (Egypten),Kronologiskt ämnesord för Egypten. Kompletteras med geografiskt ämnesord.
355054,300-talet,Allmänt kronologiskt ämnesord.
355044,300-talet f.Kr.,Används för åren 399-300 f.Kr. | Allmänt kronologiskt ämnesord.
355460,"31 f.Kr.-476 e.Kr. (kejsartiden, Romerska riket)",Kronologiskt ämnesord för Romerska riket.
172641,"31 f.Kr.-476 e.Kr. (romartiden, Grekland)",
398891,-332 f.Kr. (Egypten),Kronologiskt ämnesord för Egypten. Kompletteras med geografiskt ämnesord.
398950,332 f.Kr.-640 e.Kr. (Egypten),Kronologiskt ämnesord för Egypten. Kompletteras med geografiskt ämnesord.
398960,332-30 f.Kr. (Egypten),Kronologiskt ämnesord för Egypten. Kompletteras med geografiskt ämnesord.
172642,"336-31 f.Kr. (hellenistiska tiden, Grekland)",
355469,"395-476 e.Kr. (Västromerska riket, Romerska riket)",Kronologiskt ämnesord för Romerska riket.
320528,3D Studio,"- datorgrafik Pueb, - särsk program Pubdz."
159699,3D-bilder,"- grafik If, - datorgrafik Pueb."
2l111kpc0tv46nz2,3D-modellering,
355055,400-talet,Allmänt kronologiskt ämnesord.
355043,400-talet f.Kr.,Används för åren 499-400 f.Kr. | Allmänt kronologiskt ämnesord.
401114,-449 (Storbritannien),Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.
172643,"490-336 f.Kr. (klassiska tiden, Grekland)",
355056,500-talet,Allmänt kronologiskt ämnesord.
355456,"510-265 f.Kr. (tidiga republiken, Romerska riket)",Kronologiskt ämnesord för Romerska riket.
355455,"510-31 f.Kr. (republiken, Romerska riket)",Kronologiskt ämnesord för Romerska riket.
n58zwpmsl079bc4l,5G,
355058,600-talet,Allmänt kronologiskt ämnesord.
395817,"618-907 (Tangdynastin, Kina)",Kronologiskt ämnesord för Kina.
398951,640-1250 (Egypten),Kronologiskt ämnesord för Egypten. Kompletteras med geografiskt ämnesord.
398952,640-1882 (Egypten),Kronologiskt ämnesord för Egypten. Kompletteras med geografiskt ämnesord.
172645,"700-490 f.Kr. (arkaiska tiden, Grekland)",
355059,700-talet,Allmänt kronologiskt ämnesord.
355453,"700-talet-510 f.Kr. (kungatiden, Romerska riket)",Kronologiskt ämnesord för Romerska riket.
400101,-711 (Spanien),Kronologiskt ämnesord för Spanien. Komplettera med geografiskt ämnesord.
400108,711-1516 (Spanien),Kronologiskt ämnesord för Spanien. Komplettera med geografiskt ämnesord.
355060,800-talet,Allmänt kronologiskt ämnesord.
357847,-843 (Tyskland),Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.
357848,843-1517 (Tyskland),Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.
222708,"900-700 f.Kr. (geometriska tiden, Grekland)",
355061,900-talet,Allmänt kronologiskt ämnesord.
395820,"907-979 (De fem dynastierna och de tio rikena, Kina)",Kronologiskt ämnesord för Kina.
395823,"947-1125 (Liaodynastin, Kina)",Kronologiskt ämnesord för Kina.
395826,"960-1279 (Songdynastin, Kina)",Kronologiskt ämnesord för Kina.
395830,960-1644 (Kina),Kronologiskt ämnesord för Kina.
242758,A cappella,
259974,A-vitamin,
138763,AACM-jazz,
